Maths,natural_language
"∀ x ∈ S, P x","For all x in S, property P holds"
T ∪ B,The union of sets T and B
"∀ x, x ∈ univ",Every element belongs to the universal set
b ∈ U,The element b belongs to set U
Q ∩ P,The intersection of sets Q and P
R \ C,The set difference R minus C
S ⊆ W,S is contained in W
T ∩ Q,The intersection of sets T and Q
C ∈ 𝒫(C),C is in its own power set
w ∈ V ∪ T ↔ (w ∈ V ∨ w ∈ T),w is in V union T if and only if w is in V or w is in T
k ∉ W,k is not a member of set W
U ∩ (U ∪ R) = U,Ubsorption law for intersection: U ∩ (U ∪ R) = U
Z ⊆ V → Vᶜ ⊆ Zᶜ,"If Z ⊆ V, then Vᶜ ⊆ Zᶜ"
m ∈ W \ S,m is in W but not in S
v ∉ Y,v is not a member of set Y
"∀ x ∈ C, P x","For all x in C, property P holds"
Q ∪ (P ∩ S) = (Q ∪ P) ∩ (Q ∪ S),Union distributes over intersection: Q ∪ (P ∩ S) = (Q ∪ P) ∩ (Q ∪ S)
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
S ⊆ P ∧ P ⊆ S → S = P,"If S is a subset of P and P is a subset of S, then S equals P"
T ∩ U,The intersection of sets T and U
"∀ x ∈ V, P x","For all x in V, property P holds"
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
Yᶜ,The complement of set Y
S ⊆ U → Uᶜ ⊆ Sᶜ,"If S ⊆ U, then Uᶜ ⊆ Sᶜ"
V ⊆ P,V is contained in P
t ∈ Aᶜ ↔ t ∉ A,t is in the complement of A if and only if t is not in A
z ∈ T ∪ Q ↔ (z ∈ T ∨ z ∈ Q),z is in T union Q if and only if z is in T or z is in Q
V ∩ (Z ∪ C) = (V ∩ Z) ∪ (V ∩ C),Intersection distributes over union: V ∩ (Z ∪ C) = (V ∩ Z) ∪ (V ∩ C)
"Injective f → ∀ x y ∈ V, f x = f y → x = y","If f is injective, then for all x, y in V, f(x) = f(y) implies x = y"
W ⊆ P,W is included in P
R \ S,The set difference R minus S
v ∉ A,v is not a member of set A
S ⊆ V,Every element of S belongs to V
v ∈ V \ T,v is in V but not in T
A ∪ X,The union of sets A and X
Q ⊆ X → Xᶜ ⊆ Qᶜ,"If Q ⊆ X, then Xᶜ ⊆ Qᶜ"
{x | P x},The set of all elements x such that property P holds
s ∈ P ∪ T ↔ (s ∈ P ∨ s ∈ T),s is in P union T if and only if s is in P or s is in T
Q ∪ (V ∩ X) = (Q ∪ V) ∩ (Q ∪ X),Union distributes over intersection: Q ∪ (V ∩ X) = (Q ∪ V) ∩ (Q ∪ X)
(R ∪ U)ᶜ = Rᶜ ∩ Uᶜ,The complement of the union of R and U equals the intersection of their complements
"∀ S, S ⊆ Z → S ∈ 𝒫(Z)",Every subset of Z is an element of the power set of Z
W ⊆ univ,Every set W is a subset of the universal set
𝒫(P) = {S | S ⊆ P},The power set of P is the set of all subsets of P
(X ∪ T)ᶜ = Xᶜ ∩ Tᶜ,The complement of the union of X and T equals the intersection of their complements
s ∈ R \ V,s is in R but not in V
"∀ x, x ∈ univ",The universal set contains all elements
"∀ x, x ∉ ∅",The empty set has no elements
f : S → T,f maps S into T
Y ⊇ T,Set Y is a superset of set T
V ∪ (W ∩ Q) = (V ∪ W) ∩ (V ∪ Q),Union distributes over intersection: V ∪ (W ∩ Q) = (V ∪ W) ∩ (V ∪ Q)
{x ∈ B | Q x},The set of all elements in B satisfying property Q
(P ∪ C)ᶜ = Pᶜ ∩ Cᶜ,The complement of the union of P and C equals the intersection of their complements
P ∪ T,The union of sets P and T
R ⊆ R ∪ V,R is a subset of the union of R and V
a ∈ Z ∪ B ↔ (a ∈ Z ∨ a ∈ B),a is in Z union B if and only if a is in Z or a is in B
Disjoint S R → S ∩ R = ∅,"If S and R are disjoint, then S ∩ R = ∅"
w ∈ X \ Y,w is in X but not in Y
"∃! x ∈ R, P x",There exists a unique element x in R satisfying P
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
B ∪ Y,The union of sets B and Y
x ∉ V,x is not a member of set V
Vijective (f : U → V),f is bijective from U to V
Finite R ∧ Finite Z → Finite (R ∪ Z),"If R is finite and Z is finite, then R ∪ Z is finite"
U ⊆ Y,Every element of U belongs to Y
P ⊇ X,Set P is a superset of set X
z ∉ X,z is not a member of set X
a ∈ Xᶜ ↔ a ∉ X,a is in the complement of X if and only if a is not in X
∅ ⊆ A,The empty set is a subset of every set A
Disjoint U P → U ∩ P = ∅,"If U and P are disjoint, then U ∩ P = ∅"
"∀ x, x ∉ ∅",No element belongs to the empty set
C ∩ V,The intersection of sets C and V
n ∈ T ∪ W ↔ (n ∈ T ∨ n ∈ W),n is in T union W if and only if n is in T or n is in W
{n : ℕ | n > 5},The set of all natural numbers greater than 5
𝒫(Y) = {S | S ⊆ Y},The power set of Y is the set of all subsets of Y
Z ∩ S ⊆ Z,The intersection of Z and S is a subset of Z
U ∩ (U ∪ Q) = U,Ubsorption law for intersection: U ∩ (U ∪ Q) = U
𝒫(R) = {S | S ⊆ R},The power set of R is the set of all subsets of R
{n : ℕ | n > 5},The set of all natural numbers greater than 5
"∀ x ∈ A, P x → Q x","For every element x in A, if P(x) then Q(x)"
t ∈ P ∩ Q ↔ (t ∈ P ∧ t ∈ Q),t belongs to the intersection of P and Q if and only if t is in both P and Q
Injective (f : T → W),f is injective on T
s ∉ S,s is not a member of set S
R ⊆ Z,Every element of R belongs to Z
W ∪ Q,The union of sets W and Q
S ∪ (S ∩ Z) = S,Sbsorption law for union: S ∪ (S ∩ Z) = S
c ∉ B,c is not a member of set B
T ∪ (V ∩ Q) = (T ∪ V) ∩ (T ∪ Q),Union distributes over intersection: T ∪ (V ∩ Q) = (T ∪ V) ∩ (T ∪ Q)
T ∩ (T ∪ P) = T,Tbsorption law for intersection: T ∩ (T ∪ P) = T
"∃! x ∈ X, P x",There exists a unique element x in X satisfying P
(A ∪ W)ᶜ = Aᶜ ∩ Wᶜ,The complement of the union of A and W equals the intersection of their complements
m ∈ Q,The element m belongs to set Q
T \ P,The set difference T minus P
n ∉ Z,n is not a member of set Z
"∀ x, x ∈ univ",The universal set contains all elements
Q × W,The Cartesian product of Q and W
u ∈ X \ V,u is in X but not in V
X ∈ 𝒫(X),X is in its own power set
U ⊆ R,Set U is a subset of set R
X ⊆ X ∪ S,X is a subset of the union of X and S
C ⊆ Z,Every element of C belongs to Z
R ⊇ B,Set R is a superset of set B
"∀ x ∈ C, P x → Q x","For every element x in C, if P(x) then Q(x)"
R ⊇ Q,Set R is a superset of set Q
(T ∩ R)ᶜ = Tᶜ ∪ Rᶜ,The complement of the intersection of T and R equals the union of their complements
"∀ x, x ∈ univ",Every element belongs to the universal set
U × B,The Cartesian product of U and B
{x : ℝ | x > 0},The set of all positive real numbers
